Date_Param,Aceh,Bali,Banten,Bengkulu,DI Yogyakarta,Gorontalo,Jawa Barat,Jawa Tengah,Jawa Timur,Kalimantan Barat,Kalimantan Selatan,Kalimantan Tengah,Kalimantan Timur,Kalimantan Utara,Kepulauan Bangka Belitung,Kepulauan Riau,Lampung,Maluku,Maluku Utara,Nusa Tenggara Barat,Nusa Tenggara Timur,Papua,Papua Barat,Riau,Sulawesi Barat,Sulawesi Selatan,Sulawesi Tengah,Sulawesi Tenggara,Sulawesi Utara,Sumatera Barat,Sumatera Selatan,Sumatera Utara
2022-01-15,30000.0,33600.0,31250.0,25750.0,59850.0,39000.00062134858,50150.0,46550.0,56000.0,97500.0,55350.0,75850.0,77350.0,25000.0,32700.000000003143,44750.06779207373,77950.0,76650.0,75000.0,38350.0,30000.000000310447,73350.0,92500.0,32500.0,34250.0,61650.0,47200.0,56350.0,75000.0,36000.0,34500.0,27800.0
2022-01-16,30000.0,33600.0,31250.0,25750.0,59850.0,39000.001477582395,50150.0,46550.0,56000.0,97500.0,55350.0,75850.0,77350.0,25000.0,32700.000000004715,44750.09178393853,77950.0,76650.0,75000.0,38350.0,30000.000000062337,73350.0,92500.0,32500.0,34250.0,61650.0,47200.0,56350.0,75000.0,36000.0,34500.0,27800.0
2022-01-17,30000.0,33600.0,31250.0,25750.0,59850.0,39000.005371817984,50150.0,46550.0,56000.0,97500.0,55350.0,75850.0,77350.0,25000.0,32700.000000007618,44750.059856752785,77950.0,76650.0,75000.0,38350.0,30000.000000033022,73350.0,92500.0,32500.0,34250.0,61650.0,47200.0,56350.0,75000.0,36000.0,34500.0,27800.0
2022-01-18,30000.0,33600.0,31250.0,25750.0,59850.0,39000.01168442868,50150.0,46550.0,56000.0,97500.0,55350.0,75850.0,77350.0,25000.0,32700.000000010034,44750.0,77950.0,76650.0,75000.0,38350.0,30000.00000011194,73350.0,92500.0,32500.0,34250.0,61650.0,47200.0,56350.0,75000.0,36000.0,34500.0,27800.0
2022-01-19,30000.0,33600.0,31250.0,29700.0,59850.0,39000.0153295392,50150.0,46550.0,56000.0,97500.0,55350.0,75850.0,77350.0,25000.0,32700.00000000747,44750.0,77950.0,76650.0,75000.0,38350.0,29999.999999546177,73350.0,92500.0,32500.0,34250.0,61650.0,47200.0,56350.0,75000.0,36000.0,34500.0,27800.0
2022-01-20,30000.0,33600.0,31250.0,29700.0,59850.0,39000.01242887912,50150.0,46550.0,56000.0,97500.0,55350.0,75850.0,77350.0,25000.0,32700.000000001724,44750.0,77950.0,76650.0,75000.0,38350.0,29999.99999892106,73350.0,92500.0,32500.0,34250.0,61650.0,47200.0,56350.0,75000.0,36000.0,34500.0,27800.0
2022-01-21,30000.0,33600.0,31250.0,29700.0,59850.0,39000.00472635109,50150.0,46550.0,56000.0,97500.0,55350.0,52700.0,77350.0,25000.0,32700.00000000087,44750.0,77950.0,76650.0,75000.0,12250.0,30000.000000408163,73350.0,92500.0,32500.0,34250.0,61650.0,47200.0,56350.0,75000.0,36000.0,42500.0,27800.0
2022-01-22,30000.0,33600.0,31250.0,29700.0,59850.0,38999.961604396216,50150.0,46550.0,56000.0,97500.0,55350.0,52700.0,77350.0,25000.0,32699.999999977208,44750.0,77950.0,76650.0,75000.0,12250.0,30000.000001418433,73350.0,92500.0,32500.0,34250.0,61650.0,47200.0,56350.0,75000.0,36000.0,42500.0,27800.0
2022-01-23,30000.0,33600.0,31250.0,43350.0,59850.0,38999.975356866475,50150.0,46550.0,56000.0,97500.0,55350.0,37850.0,77350.0,25000.0,32699.99999999212,44750.0,77950.0,76650.0,75000.0,12250.0,30000.000000424778,73350.0,92500.0,32500.0,34250.0,61650.0,47200.0,56350.0,75000.0,36000.0,42500.0,27800.0
2022-01-24,30000.0,20250.0,31250.0,43350.0,59850.0,39000.0,34800.0,46550.0,56000.0,97500.0,55350.0,37850.0,77350.0,25000.0,32700.000000008375,44750.0,36100.0,76650.0,75000.0,12250.0,30000.000000558077,73350.0,92500.0,32500.0,34250.0,61650.0,47200.0,44000.0,75000.0,36000.0,42500.0,27800.0
2022-01-25,29350.0,20250.0,18250.0,43350.0,32850.0,39000.0,29050.0,18700.0,19500.0,71000.0,33200.0,37850.0,75000.0,45000.0,32700.0,44750.0,36100.0,65000.0,75000.0,12250.0,30000.000001159002,44200.0,73150.0,35000.0,30000.0,34350.0,20000.0,44000.0,32500.0,39000.0,42500.0,32950.0
2022-01-26,29350.0,20250.0,18250.0,43350.0,32850.0,39000.0,29050.0,18700.0,19500.0,71000.0,33200.0,37850.0,75000.0,45000.0,32700.0,44750.0,36100.0,65000.0,75000.0,12250.0,30000.00000001753,44200.0,73150.0,35000.0,30000.0,34350.0,20000.0,44000.0,32500.0,39000.0,42500.0,32950.0
2022-01-27,29350.0,20250.0,18250.0,43350.0,32850.0,39000.0,29050.0,18700.0,19500.0,71000.0,33200.0,37850.0,75000.0,45000.0,32700.0,44750.0,36100.0,65000.0,75000.0,12250.0,29999.99999948549,44200.0,73150.0,35000.0,30000.0,34350.0,20000.0,44000.0,32500.0,39000.0,42500.0,32950.0
2022-01-28,29350.0,20250.0,18250.0,43350.0,32850.0,39000.0,29050.0,18700.0,19500.0,71000.0,33200.0,37850.0,75000.0,45000.0,32700.0,44750.0,36100.0,65000.0,75000.0,12250.0,30000.000002709436,44200.0,73150.0,35000.0,30000.0,34350.0,20000.0,44000.0,32500.0,39000.0,42500.0,32950.0
2022-01-29,29350.0,20250.0,18250.0,43350.0,32850.0,39000.0,29050.0,18700.0,19500.0,71000.0,33200.0,37850.0,75000.0,45000.0,32700.0,44750.0,36100.0,65000.0,75000.0,12250.0,30000.00000785325,44200.0,73150.0,35000.0,30000.0,34350.0,20000.0,44000.0,32500.0,39000.0,42500.0,32950.0
2022-01-30,29350.0,20250.0,18250.0,43350.0,32850.0,39000.0,29050.0,18700.0,19500.0,71000.0,33200.0,37850.0,75000.0,45000.0,32700.0,44750.0,36100.0,65000.0,75000.0,12250.0,30000.000001886416,44200.0,73150.0,35000.0,30000.0,34350.0,20000.0,44000.0,32500.0,39000.0,42500.0,32950.0
2022-01-31,29350.0,20250.0,18250.0,43350.0,32850.0,39000.0,29050.0,18700.0,19500.0,71000.0,33200.0,37850.0,75000.0,45000.0,32700.0,44750.0,36100.0,65000.0,75000.0,12250.0,29999.999996703704,44200.0,73150.0,35000.0,30000.0,34350.0,20000.0,44000.0,32500.0,39000.0,42500.0,35950.0
2022-02-01,29350.0,20250.0,18250.0,43350.0,32850.0,39000.0,29050.0,18700.0,19500.0,71000.0,33200.0,37850.0,75000.0,45000.0,32700.0,44750.0,36100.0,65000.0,75000.0,12250.0,29999.999994845773,44200.0,73150.0,35000.0,30000.0,34350.0,20000.0,44000.0,32500.0,39000.0,42500.0,35950.0
2022-02-02,29350.0,20250.0,18250.0,43350.0,32850.0,39000.0,29050.0,18700.0,19500.0,71000.0,33200.0,37850.0,75000.0,45000.0,32700.0,44750.0,36100.0,65000.0,75000.0,12250.0,29999.99998713498,44200.0,73150.0,35000.0,30000.0,34350.0,20000.0,44000.0,32500.0,39000.0,42500.0,35950.0
2022-02-03,29350.0,20250.0,18250.0,43350.0,32850.0,39000.0,29050.0,18700.0,19500.0,71000.0,33200.0,37850.0,75000.0,45000.0,32700.0,44750.0,36100.0,65000.0,75000.0,12250.0,29999.999983588717,44200.0,73150.0,35000.0,30000.0,34350.0,20000.0,44000.0,32500.0,39000.0,42500.0,35950.0
2022-02-04,29350.0,20250.0,18250.0,43350.0,32850.0,39000.0,29050.0,18700.0,19500.0,71000.0,33200.0,37850.0,75000.0,45000.0,32700.0,44750.0,36100.0,65000.0,75000.0,12250.0,29999.99997933201,44200.0,73150.0,35000.0,30000.0,34350.0,20000.0,44000.0,32500.0,39000.0,42500.0,35950.0
2022-02-05,29350.0,20250.0,18250.0,43350.0,32850.0,39000.0,29050.0,18700.0,19500.0,71000.0,33200.0,37850.0,75000.0,45000.0,32700.0,44750.0,36100.0,65000.0,75000.0,12250.0,30000.00000002682,44200.0,73150.0,35000.0,30000.0,34350.0,20000.0,44000.0,32500.0,39000.0,42500.0,35950.0
2022-02-06,29350.0,20250.0,18250.0,43350.0,32850.0,39000.0,29050.0,18700.0,19500.0,71000.0,33200.0,37850.0,75000.0,45000.0,32700.0,44750.0,36100.0,65000.0,75000.0,12250.0,29999.99999073821,44200.0,73150.0,35000.0,30000.0,34350.0,20000.0,44000.0,32500.0,39000.0,42500.0,35950.0
2022-02-07,29350.0,20250.0,18250.0,43350.0,32850.0,39000.0,29050.0,18700.0,19500.0,71000.0,33200.0,37850.0,75000.0,45000.0,32700.0,44750.0,36100.0,65000.0,75000.0,12250.0,30000.000001612283,44200.0,73150.0,35000.0,30000.0,34350.0,20000.0,44000.0,32500.0,39000.0,42500.0,35950.0
2022-02-08,29350.0,20250.0,18250.0,43350.0,32850.0,39000.0,29050.0,18700.0,19500.0,71000.0,33200.0,37850.0,75000.0,45000.0,32700.0,44750.0,36100.0,65000.0,75000.0,12250.0,30000.00001035554,44200.0,73150.0,35000.0,30000.0,34350.0,20000.0,44000.0,32500.0,39000.0,42500.0,35950.0
