Date_Param,Semua Provinsi,Aceh,Sumatera Utara,Sumatera Barat,Riau,Kepulauan Riau,Bengkulu,Sumatera Selatan,Kepulauan Bangka Belitung,Lampung,Banten,Jawa Barat,Jawa Tengah,DI Yogyakarta,Jawa Timur,Bali,Nusa Tenggara Barat,Kalimantan Barat,Kalimantan Selatan,Kalimantan Tengah,Kalimantan Timur,Kalimantan Utara,Gorontalo,Sulawesi Selatan,Sulawesi Tenggara,Sulawesi Tengah,Sulawesi Utara,Sulawesi Barat,Maluku,Maluku Utara,Papua,Papua Barat
2026-02-28,48500.0,43500.0,31000.0,28350.0,52500.0,45000.0,42650.0,47500.0,48350.0,58100.0,66250.0,60850.0,52250.0,56350.0,64650.0,51650.0,60850.0,45000.0,44200.0,43350.0,76650.0,50000.0,43750.0,30650.0,24500.0,35450.0,51650.0,31650.0,34350.0,57500.0,71700.0,52650.0
2026-03-01,48500.0,43500.0,31000.0,28350.0,52500.0,45000.0,42650.0,47500.0,48350.0,58100.0,66250.0,60850.0,52250.0,56350.0,64650.0,51650.0,60850.0,45000.0,44200.0,43350.0,76650.0,50000.0,43750.0,30650.0,24500.0,35450.0,51650.0,31650.0,34350.0,57500.0,71700.0,52650.0
2026-03-02,48500.0,43500.0,31000.0,28350.0,52500.0,45000.0,42650.0,47500.0,48350.0,58100.0,66250.0,60850.0,52250.0,56350.0,64650.0,51650.0,60850.0,45000.0,44200.0,43350.0,76650.0,50000.0,43750.0,30650.0,24500.0,35450.0,51650.0,31650.0,34350.0,57500.0,71700.0,52650.0
2026-03-03,48500.0,43500.0,31000.0,28350.0,52500.0,45000.0,42650.0,47500.0,48350.0,58100.0,66250.0,60850.0,52250.0,56350.0,64650.0,51650.0,60850.0,45000.0,44200.0,43350.0,76650.0,50000.0,43750.0,30650.0,24500.0,35450.0,51650.0,31650.0,34350.0,57500.0,71700.0,52650.0
2026-03-04,48500.0,43500.0,31000.0,28350.0,52500.0,45000.0,42650.0,47500.0,48350.0,58100.0,66250.0,60850.0,52250.0,56350.0,64650.0,51650.0,60850.0,45000.0,44200.0,43350.0,76650.0,50000.0,43750.0,30650.0,24500.0,35450.0,51650.0,31650.0,34350.0,57500.0,71700.0,52650.0
2026-03-05,48500.0,43500.0,31000.0,28350.0,52500.0,45000.0,42650.0,47500.0,48350.0,58100.0,66250.0,60850.0,52250.0,56350.0,64650.0,51650.0,60850.0,45000.0,44200.0,43350.0,76650.0,50000.0,43750.0,30650.0,24500.0,35450.0,51650.0,31650.0,34350.0,57500.0,71700.0,52650.0
2026-03-06,48500.0,43500.0,31000.0,28350.0,52500.0,45000.0,42650.0,47500.0,48350.0,58100.0,66250.0,60850.0,52250.0,56350.0,64650.0,51650.0,60850.0,45000.0,44200.0,43350.0,76650.0,50000.0,43750.0,30650.0,24500.0,35450.0,51650.0,31650.0,34350.0,57500.0,71700.0,52650.0
2026-03-07,48500.0,43500.0,31000.0,28350.0,52500.0,45000.0,42650.0,47500.0,48350.0,58100.0,66250.0,60850.0,52250.0,56350.0,64650.0,51650.0,60850.0,45000.0,44200.0,43350.0,76650.0,50000.0,43750.0,30650.0,24500.0,35450.0,51650.0,31650.0,34350.0,57500.0,71700.0,52650.0
2026-03-08,48500.0,43500.0,31000.0,28350.0,52500.0,45000.0,42650.0,47500.0,48350.0,58100.0,66250.0,60850.0,52250.0,56350.0,64650.0,51650.0,60850.0,45000.0,44200.0,43350.0,76650.0,50000.0,43750.0,30650.0,24500.0,35450.0,51650.0,31650.0,34350.0,57500.0,71700.0,52650.0
2026-03-09,48500.0,43500.0,31000.0,28350.0,52500.0,45000.0,42650.0,47500.0,48350.0,58100.0,66250.0,60850.0,52250.0,56350.0,64650.0,51650.0,60850.0,45000.0,44200.0,43350.0,76650.0,50000.0,43750.0,30650.0,24500.0,35450.0,51650.0,31650.0,34350.0,57500.0,71700.0,52650.0
2026-03-10,48500.0,43500.0,31000.0,28350.0,52500.0,45000.0,42650.0,47500.0,48350.0,58100.0,66250.0,60850.0,52250.0,56350.0,64650.0,51650.0,60850.0,45000.0,44200.0,43350.0,76650.0,50000.0,43750.0,30650.0,24500.0,35450.0,51650.0,31650.0,34350.0,57500.0,71700.0,52650.0
2026-03-11,48500.0,43500.0,31000.0,28350.0,52500.0,45000.0,42650.0,47500.0,48350.0,58100.0,66250.0,60850.0,52250.0,56350.0,64650.0,51650.0,60850.0,45000.0,44200.0,43350.0,76650.0,50000.0,43750.0,30650.0,24500.0,35450.0,51650.0,31650.0,34350.0,57500.0,71700.0,52650.0
2026-03-12,48500.0,43500.0,31000.0,28350.0,52500.0,45000.0,42650.0,47500.0,48350.0,58100.0,66250.0,60850.0,52250.0,56350.0,64650.0,51650.0,60850.0,45000.0,44200.0,43350.0,76650.0,50000.0,43750.0,30650.0,24500.0,35450.0,51650.0,31650.0,34350.0,57500.0,71700.0,52650.0
2026-03-13,48500.0,43500.0,31000.0,28350.0,52500.0,45000.0,42650.0,47500.0,48350.0,58100.0,66250.0,60850.0,52250.0,56350.0,64650.0,51650.0,60850.0,45000.0,44200.0,43350.0,76650.0,50000.0,43750.0,30650.0,24500.0,35450.0,51650.0,31650.0,34350.0,57500.0,71700.0,52650.0
2026-03-14,48500.0,43500.0,31000.0,28350.0,52500.0,45000.0,42650.0,47500.0,48350.0,58100.0,66250.0,60850.0,52250.0,56350.0,64650.0,51650.0,60850.0,45000.0,44200.0,43350.0,76650.0,50000.0,43750.0,30650.0,24500.0,35450.0,51650.0,31650.0,34350.0,57500.0,71700.0,52650.0
2026-03-15,48500.0,43500.0,31000.0,28350.0,52500.0,45000.0,42650.0,47500.0,48350.0,58100.0,66250.0,60850.0,52250.0,56350.0,64650.0,51650.0,60850.0,45000.0,44200.0,43350.0,76650.0,50000.0,43750.0,30650.0,24500.0,35450.0,51650.0,31650.0,34350.0,57500.0,71700.0,52650.0
2026-03-16,48500.0,43500.0,31000.0,28350.0,52500.0,45000.0,42650.0,47500.0,48350.0,58100.0,66250.0,60850.0,52250.0,56350.0,64650.0,51650.0,60850.0,45000.0,44200.0,43350.0,76650.0,50000.0,43750.0,30650.0,24500.0,35450.0,51650.0,31650.0,34350.0,57500.0,71700.0,52650.0
