Date_Param,Semua Provinsi,Aceh,Sumatera Utara,Sumatera Barat,Riau,Jambi,Bengkulu,Sumatera Selatan,Kepulauan Bangka Belitung,Lampung,Banten,Jawa Barat,Jawa Tengah,DI Yogyakarta,Jawa Timur,Bali,Nusa Tenggara Barat,Kalimantan Barat,Kalimantan Selatan,Kalimantan Tengah,Kalimantan Timur,Kalimantan Utara,Gorontalo,Sulawesi Selatan,Sulawesi Tenggara,Sulawesi Tengah,Sulawesi Utara,Sulawesi Barat,Maluku,Maluku Utara,Papua,Papua Barat
2026-02-13,13350.0,14700.0,13750.0,16700.0,7400.0,11650.0,13500.0,12500.0,14500.0,15000.0,12450.0,12050.0,13650.0,13650.0,12450.0,12650.0,7750.0,13750.0,14650.0,14400.0,14600.0,13250.0,13400.0,14200.0,13800.0,12450.0,13100.0,13150.0,11750.0,16500.0,15650.0,14750.0
2026-02-14,13350.0,14700.0,13750.0,16700.0,7400.0,11650.0,13500.0,12500.0,14500.0,15000.0,12450.0,12050.0,13650.0,13650.0,12450.0,12650.0,7750.0,13750.0,14650.0,14400.0,14600.0,13250.0,13400.0,14200.0,13800.0,12450.0,13100.0,13150.0,11750.0,16500.0,15650.0,14750.0
2026-02-15,13350.0,14700.0,13750.0,16700.0,7400.0,11650.0,13500.0,12500.0,14500.0,15000.0,12450.0,12050.0,13650.0,13650.0,12450.0,12650.0,7750.0,13750.0,14650.0,14400.0,14600.0,13250.0,13400.0,14200.0,13800.0,12450.0,13100.0,13150.0,11750.0,16500.0,15650.0,14750.0
2026-02-16,13350.0,14700.0,13750.0,16700.0,7400.0,11650.0,13500.0,12500.0,14500.0,15000.0,12450.0,12050.0,13650.0,13650.0,12450.0,12650.0,7750.0,13750.0,14650.0,14400.0,14600.0,13250.0,13400.0,14200.0,13800.0,12450.0,13100.0,13150.0,11750.0,16500.0,15650.0,14750.0
2026-02-17,13350.0,14700.0,13750.0,16700.0,7400.0,11650.0,13500.0,12500.0,14500.0,15000.0,12450.0,12050.0,13650.0,13650.0,12450.0,12650.0,7750.0,13750.0,14650.0,14400.0,14600.0,13250.0,13400.0,14200.0,13800.0,12450.0,13100.0,13150.0,11750.0,16500.0,15650.0,14750.0
2026-02-18,13350.0,14700.0,13750.0,16700.0,7400.0,11650.0,13500.0,12500.0,14500.0,15000.0,12450.0,12050.0,13650.0,13650.0,12450.0,12650.0,7750.0,13750.0,14650.0,14400.0,14600.0,13250.0,13400.0,14200.0,13800.0,12450.0,13100.0,13150.0,11750.0,16500.0,15650.0,14750.0
2026-02-19,13350.0,14700.0,13750.0,16700.0,7400.0,11650.0,13500.0,12500.0,14500.0,15000.0,12450.0,12050.0,13650.0,13650.0,12450.0,12650.0,7750.0,13750.0,14650.0,14400.0,14600.0,13250.0,13400.0,14200.0,13800.0,12450.0,13100.0,13150.0,11750.0,16500.0,15650.0,14750.0
2026-02-20,13350.0,14700.0,13750.0,16700.0,7400.0,11650.0,13500.0,12500.0,14500.0,15000.0,12450.0,12050.0,13650.0,13650.0,12450.0,12650.0,7750.0,13750.0,14650.0,14400.0,14600.0,13250.0,13400.0,14200.0,13800.0,12450.0,13100.0,13150.0,11750.0,16500.0,15650.0,14750.0
2026-02-21,13350.0,14700.0,13750.0,16700.0,7400.0,11650.0,13500.0,12500.0,14500.0,15000.0,12450.0,12050.0,13650.0,13650.0,12450.0,12650.0,7750.0,13750.0,14650.0,14400.0,14600.0,13250.0,13400.0,14200.0,13800.0,12450.0,13100.0,13150.0,11750.0,16500.0,15650.0,14750.0
2026-02-22,13350.0,14700.0,13750.0,16700.0,7400.0,11650.0,13500.0,12500.0,14500.0,15000.0,12450.0,12050.0,13650.0,13650.0,12450.0,12650.0,7750.0,13750.0,14650.0,14400.0,14600.0,13250.0,13400.0,14200.0,13800.0,12450.0,13100.0,13150.0,11750.0,16500.0,15650.0,14750.0
