Date_Param,Semua Provinsi,Aceh,Sumatera Utara,Sumatera Barat,Riau,Kepulauan Riau,Jambi,Bengkulu,Sumatera Selatan,Kepulauan Bangka Belitung,Lampung,Banten,Jawa Barat,Jawa Tengah,DI Yogyakarta,Jawa Timur,Bali,Nusa Tenggara Barat,Kalimantan Barat,Kalimantan Selatan,Kalimantan Tengah,Kalimantan Timur,Kalimantan Utara,Gorontalo,Sulawesi Selatan,Sulawesi Tenggara,Sulawesi Tengah,Sulawesi Utara,Sulawesi Barat,Maluku,Maluku Utara,Papua,Papua Barat
2026-02-27,31350.0,31050.0,29850.0,43700.0,32000.0,42500.0,22000.0,34250.0,27500.0,40000.0,45900.0,38000.0,37400.0,22200.0,32350.0,23800.0,28000.0,20650.0,38750.0,32500.0,25000.0,35450.0,45000.0,20000.0,6450.0,19450.0,23150.0,24000.0,22500.0,20000.0,40000.0,66700.0,33150.0
2026-02-28,31350.0,31050.0,29850.0,43700.0,32000.0,42500.0,22000.0,34250.0,27500.0,40000.0,45900.0,38000.0,37400.0,22200.0,32350.0,23800.0,28000.0,20650.0,38750.0,32500.0,25000.0,35450.0,45000.0,20000.0,6450.0,19450.0,23150.0,24000.0,22500.0,20000.0,40000.0,66700.0,33150.0
2026-03-01,31350.0,31050.0,29850.0,43700.0,32000.0,42500.0,22000.0,34250.0,27500.0,40000.0,45900.0,38000.0,37400.0,22200.0,32350.0,23800.0,28000.0,20650.0,38750.0,32500.0,25000.0,35450.0,45000.0,20000.0,6450.0,19450.0,23150.0,24000.0,22500.0,20000.0,40000.0,66700.0,33150.0
2026-03-02,31350.0,31050.0,29850.0,43700.0,32000.0,42500.0,22000.0,34250.0,27500.0,40000.0,45900.0,38000.0,37400.0,22200.0,32350.0,23800.0,28000.0,20650.0,38750.0,32500.0,25000.0,35450.0,45000.0,20000.0,6450.0,19450.0,23150.0,24000.0,22500.0,20000.0,40000.0,66700.0,33150.0
2026-03-03,31350.0,31050.0,29850.0,43700.0,32000.0,42500.0,22000.0,34250.0,27500.0,40000.0,45900.0,38000.0,37400.0,22200.0,32350.0,23800.0,28000.0,20650.0,38750.0,32500.0,25000.0,35450.0,45000.0,20000.0,6450.0,19450.0,23150.0,24000.0,22500.0,20000.0,40000.0,66700.0,33150.0
2026-03-04,31350.0,31050.0,29850.0,43700.0,32000.0,42500.0,22000.0,34250.0,27500.0,40000.0,45900.0,38000.0,37400.0,22200.0,32350.0,23800.0,28000.0,20650.0,38750.0,32500.0,25000.0,35450.0,45000.0,20000.0,6450.0,19450.0,23150.0,24000.0,22500.0,20000.0,40000.0,66700.0,33150.0
2026-03-05,31350.0,31050.0,29850.0,43700.0,32000.0,42500.0,22000.0,34250.0,27500.0,40000.0,45900.0,38000.0,37400.0,22200.0,32350.0,23800.0,28000.0,20650.0,38750.0,32500.0,25000.0,35450.0,45000.0,20000.0,6450.0,19450.0,23150.0,24000.0,22500.0,20000.0,40000.0,66700.0,33150.0
2026-03-06,31350.0,31050.0,29850.0,43700.0,32000.0,42500.0,22000.0,34250.0,27500.0,40000.0,45900.0,38000.0,37400.0,22200.0,32350.0,23800.0,28000.0,20650.0,38750.0,32500.0,25000.0,35450.0,45000.0,20000.0,6450.0,19450.0,23150.0,24000.0,22500.0,20000.0,40000.0,66700.0,33150.0
2026-03-07,31350.0,31050.0,29850.0,43700.0,32000.0,42500.0,22000.0,34250.0,27500.0,40000.0,45900.0,38000.0,37400.0,22200.0,32350.0,23800.0,28000.0,20650.0,38750.0,32500.0,25000.0,35450.0,45000.0,20000.0,6450.0,19450.0,23150.0,24000.0,22500.0,20000.0,40000.0,66700.0,33150.0
2026-03-08,31350.0,31050.0,29850.0,43700.0,32000.0,42500.0,22000.0,34250.0,27500.0,40000.0,45900.0,38000.0,37400.0,22200.0,32350.0,23800.0,28000.0,20650.0,38750.0,32500.0,25000.0,35450.0,45000.0,20000.0,6450.0,19450.0,23150.0,24000.0,22500.0,20000.0,40000.0,66700.0,33150.0
